"incident_id","start_time","case_number","priority","district","beat","initial_type","final_tru_type"
"P2600201512","2026-07-06T09:56:28.000","260029624","4","5D","M3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600201472","2026-07-06T09:12:04.000","260029625","4","5D","N1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600201536","2026-07-06T10:19:32.000","260029637","4","1D","A1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600201596","2026-07-06T11:34:09.000","260029648","4","4D","K1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600201619","2026-07-06T11:54:38.000","260029653","4","6D","R2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600201620","2026-07-06T11:59:22.000","260029657","4","4D","L1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600201600","2026-07-06T11:39:26.000","260029659","4","3D","I3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600201793","2026-07-06T14:52:57.000","260029672","4","2D","E2","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT"
"P2600201768","2026-07-06T14:37:44.000","260029677","4","2D","D1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600201680","2026-07-06T13:05:58.000","260029685","4","2D","E1","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600201975","2026-07-06T18:11:08.000","260029715","4","1D","A2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600201969","2026-07-06T18:11:01.000","260029718","4","2D","D1","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600202118","2026-07-06T21:39:53.000","260029732","4","6D","R2","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600202294","2026-07-07T03:54:18.000","260029745","4","3D","G3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600202340","2026-07-07T05:46:43.000","260029748","4","6D","R2","THEFT/LARCENY - OCCURRED EARLIER","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600202369","2026-07-07T06:39:38.000","260029751","4","4D","L1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600202381","2026-07-07T07:05:24.000","260029754","4","2D","E1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600202399","2026-07-07T07:31:39.000","260029773","4","5D","M1","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600202475","2026-07-07T08:55:41.000","260029777","4","4D","L1","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600202485","2026-07-07T09:08:39.000","260029781","4","6D","P3","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600202493","2026-07-07T09:14:20.000","260029782","4","3D","I1","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600202496","2026-07-07T09:20:10.000","260029785","4","6D","R3","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT"
"P2600202524","2026-07-07T09:57:20.000","260029787","4","3D","G2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600202517","2026-07-07T09:50:20.000","260029790","4","2D","D2","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600202513","2026-07-07T09:45:37.000","260029794","4","2D","E1","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600202559","2026-07-07T10:32:13.000","260029798","4","5D","N1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600202608","2026-07-07T11:19:58.000","260029801","4","3D","I2","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT"
"P2600202662","2026-07-07T12:20:51.000","260029808","4","6D","R3","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600202671","2026-07-07T12:33:22.000","260029811","4","4D","K3","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600202687","2026-07-07T12:40:19.000","260029815","4","4D","K1","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600202809","2026-07-07T14:46:47.000","260029838","4","4D","K1","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600202846","2026-07-07T15:18:24.000","260029840","4","3D","G1","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600202835","2026-07-07T15:09:04.000","260029841","4","3D","I3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600202864","2026-07-07T15:30:11.000","260029848","4","6D","R3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600202876","2026-07-07T15:45:25.000","260029854","4","3D","G3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600202928","2026-07-07T16:33:53.000","260029861","4","5D","N1","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT"
"P2600202918","2026-07-07T16:25:58.000","260029862","4","3D","G2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600202955","2026-07-07T17:00:59.000","260029865","4","5D","M2","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600202929","2026-07-07T16:33:31.000","260029870","4","2D","E1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600203137","2026-07-07T20:10:14.000","260029890","4","3D","I2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600203182","2026-07-07T21:04:32.000","260029902","4","3D","G2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600203219","2026-07-07T21:36:45.000","260029904","4","2D","D2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600203191","2026-07-07T21:14:57.000","260029905","4","2D","E1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600203063","2026-07-07T18:58:29.000","260029908","4","6D","P3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600203226","2026-07-07T21:46:04.000","260029910","4","2D","D2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600203474","2026-07-08T06:51:37.000","260029927","4","6D","P2","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600203510","2026-07-08T07:50:58.000","260029931","4","3D","G2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600203504","2026-07-08T07:41:10.000","260029934","4","6D","R1","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT"
"P2600203491","2026-07-08T07:21:45.000","260029936","4","4D","K3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600203511","2026-07-08T07:57:59.000","260029941","4","3D","I3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600203532","2026-07-08T08:14:14.000","260029947","4","3D","G2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600203609","2026-07-08T09:56:48.000","260029953","4","2D","E1","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600203528","2026-07-08T08:12:58.000","260029955","4","4D","K3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600203607","2026-07-08T09:50:21.000","260029959","4","5D","N1","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600203666","2026-07-08T10:59:59.000","260029962","4","4D","K3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600203622","2026-07-08T10:17:16.000","260029970","4","4D","K1","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600203686","2026-07-08T11:19:29.000","260029973","4","4D","K1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600203667","2026-07-08T10:55:05.000","260029975","4","1D","A1","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600203708","2026-07-08T11:40:23.000","260029976","4","6D","R2","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600203705","2026-07-08T11:33:58.000","260029982","4","4D","L2","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600203768","2026-07-08T12:35:21.000","260029983","4","2D","E1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600203818","2026-07-08T13:26:32.000","260029989","4","4D","L3","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600203964","2026-07-08T15:46:27.000","260030016","4","2D","E2","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600203822","2026-07-08T13:26:44.000","260030024","4","6D","P2","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600204063","2026-07-08T17:10:02.000","260030030","4","3D","I2","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600204067","2026-07-08T17:13:56.000","260030032","4","4D","L3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600204060","2026-07-08T17:10:39.000","260030036","4","3D","I3","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600204099","2026-07-08T17:44:07.000","260030040","4","3D","I1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600204087","2026-07-08T17:33:48.000","260030041","4","3D","G2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600204148","2026-07-08T18:46:52.000","260030052","4","4D","L3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600204297","2026-07-08T21:41:04.000","260030074","4","4D","L3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600204387","2026-07-08T23:18:46.000","260030085","4","3D","I1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600204597","2026-07-09T05:55:42.000","260030092","4","5D","N2","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600204595","2026-07-09T05:50:29.000","260030093","4","1D","B2","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600204636","2026-07-09T07:06:48.000","260030094","4","1D","B2","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600204645","2026-07-09T07:16:31.000","260030096","4","6D","R1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600204649","2026-07-09T07:21:46.000","260030097","4","1D","B2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600204714","2026-07-09T08:45:11.000","260030101","4","1D","B2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600204685","2026-07-09T08:14:42.000","260030103","4","1D","B2","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600204725","2026-07-09T09:01:14.000","260030104","4","2D","D1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600204781","2026-07-09T09:56:22.000","260030107","4","3D","I1","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600204743","2026-07-09T09:17:44.000","260030111","4","4D","K1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600204760","2026-07-09T09:32:30.000","260030115","4","1D","B2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600204798","2026-07-09T10:17:40.000","260030120","4","6D","P2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600204827","2026-07-09T10:44:04.000","260030121","4","6D","R3","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600204829","2026-07-09T10:45:17.000","260030122","4","3D","I3","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600204811","2026-07-09T10:33:55.000","260030127","4","3D","G1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600204884","2026-07-09T11:36:46.000","260030129","4","3D","I3","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600204837","2026-07-09T10:57:33.000","260030136","4","4D","L1","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600204950","2026-07-09T12:40:19.000","260030146","4","2D","E1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600204985","2026-07-09T13:15:09.000","260030148","4","1D","B2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600205006","2026-07-09T13:36:27.000","260030159","4","4D","K2","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600205149","2026-07-09T15:44:51.000","260030185","4","6D","R3","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT"
"P2600205242","2026-07-09T17:02:47.000","260030199","4","3D","I1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600205066","2026-07-09T14:33:36.000","260030205","4","1D","B2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600205235","2026-07-09T16:56:05.000","260030210","4","3D","I1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600205253","2026-07-09T17:12:49.000","260030213","4","2D","E2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600205340","2026-07-09T19:02:51.000","260030226","4","1D","A2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600205352","2026-07-09T19:17:04.000","260030229","4","4D","L3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600205265","2026-07-09T17:21:06.000","260030238","4","4D","L1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600205785","2026-07-10T06:25:02.000","260030255","4","6D","P2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600205776","2026-07-10T06:05:14.000","260030256","4","6D","P3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600205799","2026-07-10T06:46:01.000","260030258","4","6D","P2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600205824","2026-07-10T07:32:05.000","260030261","4","6D","P2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600205830","2026-07-10T07:39:54.000","260030262","4","3D","G1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600205879","2026-07-10T08:49:17.000","260030266","4","6D","R1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600205885","2026-07-10T08:55:55.000","260030271","4","3D","I2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600205890","2026-07-10T08:59:13.000","260030272","4","6D","P2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600205884","2026-07-10T08:57:27.000","260030273","4","2D","E1","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600205985","2026-07-10T10:30:38.000","260030291","4","3D","I1","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600206003","2026-07-10T10:55:30.000","260030292","4","3D","I2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600205975","2026-07-10T10:23:42.000","260030293","4","3D","I3","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600205891","2026-07-10T08:55:55.000","260030295","4","4D","L3","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600206035","2026-07-10T11:29:00.000","260030304","4","3D","G1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600206004","2026-07-10T10:54:07.000","260030314","4","1D","B1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600206128","2026-07-10T13:18:50.000","260030327","4","3D","G2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600206018","2026-07-10T11:07:33.000","260030336","4","3D","I1","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600206135","2026-07-10T13:25:40.000","260030340","4","3D","G1","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600206219","2026-07-10T14:44:57.000","260030346","4","6D","P1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600206224","2026-07-10T14:48:39.000","260030349","4","3D","I1","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600206283","2026-07-10T15:46:55.000","260030354","4","1D","B2","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
